Dates,Total_Cases,Daily_Cases,Total_Losses,Daily_Losses,Intubated,Total_Recovered,Active_Cases,Total_RTPCR_tests,Total_RAPID_AG_tests,Total_Tests,Daily_Tests,Positivity_Rate
26/02/20,1,1,0,0,0,0,1,0,0,0,0,0.00
27/02/20,3,2,0,0,0,0,3,0,0,0,0,0.00
28/02/20,4,1,0,0,0,0,4,0,0,0,0,0.00
29/02/20,7,3,0,0,0,0,4,0,0,0,0,0.00
01/03/20,7,0,0,0,0,0,7,0,0,0,0,0.00
02/03/20,7,0,0,0,0,0,7,0,0,0,0,0.00
03/03/20,7,0,0,0,0,0,7,570,0,570,570,0.00
04/03/20,9,2,0,0,0,0,9,570,0,570,0,0.00
05/03/20,31,22,0,0,0,0,31,570,0,570,0,0.00
06/03/20,45,14,0,0,1,0,45,570,0,570,0,0.00
07/03/20,66,21,0,0,1,0,46,570,0,570,0,0.00
08/03/20,73,7,0,0,1,0,73,570,0,570,0,0.00
09/03/20,84,11,0,0,1,0,73,570,0,570,0,0.00
10/03/20,89,5,0,0,1,0,89,570,0,570,0,0.00
11/03/20,99,10,0,0,1,0,98,570,0,570,0,0.00
12/03/20,117,18,1,1,1,2,98,2180,0,2180,1610,1.12
13/03/20,190,73,1,0,1,2,189,2700,0,2700,520,14.04
14/03/20,228,38,3,2,5,8,217,3400,0,3400,700,5.43
15/03/20,331,103,4,1,8,10,319,4000,0,4000,600,17.17
16/03/20,352,21,4,0,9,10,319,4320,0,4320,320,6.56
17/03/20,387,35,5,1,9,14,374,4320,0,4320,0,0.00
18/03/20,418,31,5,0,13,14,405,6000,0,6000,1680,1.85
19/03/20,464,46,6,1,16,19,404,6000,0,6000,0,0.00
20/03/20,495,31,10,4,16,19,470,6000,0,6000,0,0.00
21/03/20,530,35,13,3,18,19,498,8000,0,8000,2000,1.75
22/03/20,624,94,15,2,34,19,590,8000,0,8000,0,0.00
23/03/20,695,71,17,2,35,29,649,8000,0,8000,0,0.00
24/03/20,743,48,20,3,45,32,694,8000,0,8000,0,0.00
25/03/20,821,78,22,2,53,36,763,10000,0,10000,2000,3.90
26/03/20,892,71,27,5,54,42,830,10000,0,10000,0,0.00
27/03/20,966,74,28,1,65,52,886,13477,0,13477,3477,2.13
28/03/20,1061,95,32,4,69,52,977,14363,0,14363,886,10.72
29/03/20,1156,95,38,6,69,53,1066,15151,0,15151,788,12.06
30/03/20,1212,56,43,5,72,53,1117,15961,0,15961,810,6.91
31/03/20,1314,102,49,6,85,53,1213,16732,0,16732,771,13.23
01/04/20,1415,101,51,2,90,53,1313,17350,0,17350,618,16.34
02/04/20,1544,129,53,2,91,53,1430,18844,0,18844,1494,8.63
03/04/20,1613,69,63,10,92,53,1472,22437,0,22437,3593,1.92
04/04/20,1673,60,68,5,92,53,1527,22437,0,22437,0,0.00
05/04/20,1735,62,73,5,93,53,1584,25453,0,25453,3016,2.06
06/04/20,1755,20,80,7,90,269,1407,26193,0,26193,740,2.70
